title,ingredients,steps,cuisine,rating
Spaghetti Delight! .,"pepper, cheese, olive oil, pasta! .",Serve hot -> Boil water -> Chop ingredients! .,INDIAN! .,2.0
Herbal Lemon Rice! .,"basil, butter, lemon, cumin, olive oil! .",heat oil -> add seasoning -> garnish with herbs -> chop ingredients! .,MEXICAN! .,3.0
Sugar Glazed Rice! .,! .,Add seasoning -> Let it simmer -> Heat oil -> Mix ingredients -> Chop ingredients! .,THAI! .,3.0
Golden Chicken! .,"chicken, flour, egg, turmeric! .",Bake at 350°F -> Let it simmer -> Add seasoning -> Garnish with herbs! .,ITALIAN! .,5.0
Spaghetti Delight! .,"lemon, potato, tomato, rice, chili! .",Add seasoning -> Let it simmer -> Boil water -> Chop ingredients! .,AMERICAN! .,3.0
Sweet & Spicy Carrot! .,"spinach, milk, turmeric, chili, salt! .",Garnish with herbs -> Mix ingredients -> Add seasoning! .,CHINESE! .,2.0
Herbal Lemon Rice! .,"carrot, chicken, potato, salt, beef! .",Serve hot -> Garnish with herbs -> Let it simmer! .,ITALIAN! .,4.0
Sugar Glazed Rice! .,"sugar, spinach, salt, vanilla, butter! .",Garnish with herbs -> Bake at 350°F -> Serve hot -> Heat oil! .,THAI! .,2.0
Golden Chicken! .,"butter, tomato, milk, basil, flour! .",Heat oil -> Chop ingredients -> Add seasoning! .,ITALIAN! .,2.0
Spaghetti Delight! .,"cumin, lemon, sugar, potato! .",Let it simmer -> Serve hot -> Add seasoning -> Bake at 350°F! .,INDIAN! .,5.0
Sweet & Spicy Carrot! .,"turmeric, flour, carrot, butter, milk! .",Boil water -> Chop ingredients -> Heat oil! .,INDIAN! .,1.0
Herbal Lemon Rice! .,"olive oil, garlic, salt, vanilla, chicken! .",Mix ingredients -> Bake at 350°F -> Let it simmer! .,CHINESE! .,3.0
Golden Chicken! .,"flour, basil, potato, chicken, cheese, egg! .",Bake at 350°F -> Add seasoning -> Serve hot -> Chop ingredients! .,MEXICAN! .,4.0
Spaghetti Delight! .,"spinach, chicken, chili, butter! .",Serve hot -> Chop ingredients -> Heat oil -> Garnish with herbs -> Let it simmer! .,FRENCH! .,5.0
Sweet & Spicy Carrot! .,"milk, vanilla, basil! .",Serve hot -> Heat oil -> Let it simmer -> Mix ingredients! .,AMERICAN! .,2.0
Herbal Lemon Rice! .,"sugar, butter, milk, vanilla, beef! .",Serve hot -> Garnish with herbs -> Add seasoning -> Chop ingredients -> Let it simmer! .,MEXICAN! .,2.0
Sugar Glazed Rice! .,"rice, vanilla, milk! .",Add seasoning -> Chop ingredients -> Heat oil -> Boil water -> Serve hot! .,AMERICAN! .,3.0
Golden Chicken! .,"onion, chili, butter! .",Chop ingredients -> Serve hot -> Heat oil -> Mix ingredients -> Garnish with herbs! .,AMERICAN! .,5.0
Spaghetti Delight! .,"basil, garlic, cheese! .",Serve hot -> Let it simmer -> Add seasoning -> Heat oil -> Garnish with herbs! .,FRENCH! .,3.0
Sweet & Spicy Carrot! .,"lemon, cheese, egg, potato! .",Mix ingredients -> Garnish with herbs -> Add seasoning! .,CHINESE! .,2.0
Herbal Lemon Rice! .,"butter, flour, tomato, lemon! .",Bake at 350°F -> Chop ingredients -> Heat oil -> Let it simmer! .,CHINESE! .,4.0
Sugar Glazed Rice! .,"pasta, beef, chili, lemon! .",Chop ingredients -> Add seasoning -> Heat oil -> Mix ingredients! .,FRENCH! .,3.0
Golden Chicken! .,"basil, onion, chicken, flour, lemon, pepper! .",Serve hot -> Boil water -> Mix ingredients -> Garnish with herbs -> Add seasoning! .,AMERICAN! .,1.0
Spaghetti Delight! .,"beef, potato, egg, pasta, pepper! .",Boil water -> Chop ingredients -> Garnish with herbs -> Bake at 350°F! .,INDIAN! .,4.0
Sweet & Spicy Carrot! .,"olive oil, vanilla, pepper, turmeric, onion, chili! .",Serve hot -> Boil water -> Garnish with herbs -> Let it simmer -> Chop ingredients! .,MEXICAN! .,1.0
Herbal Lemon Rice! .,"carrot, basil, milk, olive oil, potato! .",Let it simmer -> Bake at 350°F -> Garnish with herbs -> Add seasoning! .,FRENCH! .,2.0
Sugar Glazed Rice! .,"pepper, lemon, potato, salt, rice! .",Add seasoning -> Chop ingredients -> Mix ingredients -> Bake at 350°F! .,THAI! .,5.0
Golden Chicken! .,"pasta, butter, rice! .",Add seasoning -> Boil water -> Garnish with herbs! .,INDIAN! .,2.0
Spaghetti Delight! .,"turmeric, carrot, salt, beef, chili, rice! .",Add seasoning -> Mix ingredients -> Boil water! .,THAI! .,1.0
Herbal Lemon Rice! .,"vanilla, rice, flour, cumin, tomato, spinach! .",Bake at 350°F -> Garnish with herbs -> Boil water! .,AMERICAN! .,4.0
